Id,Player,Height,Weight
beached01,Ed Beach,190,90
bealbr01,Bradley Beal,193,93
beardal01,Al Beard,206,90
beardbu01,Butch Beard,190,83
beardra01,Ralph Beard,178,79
beaslch01,Charles Beasley,196,86
beaslje01,Jerome Beasley,208,107
beasljo01,John Beasley,206,102
beaslma01,Malik Beasley,193,84
beaslmi01,Michael Beasley,206,106
beatyze01,Zelmo Beaty,206,102
beaubro01,Rodrigue Beaubois,183,77
beckby01,Byron Beck,206,102
beckco01,Corey Beck,185,86
becker01,Ernie Beck,193,86
beckear01,Arthur Becker,201,92
beckemo01,Moe Becker,185,83
bedelbo01,Bob Bedell,201,92
bedfowi01,William Bedford,213,102
beendha01,Hank Beenders,198,83
behagro01,Ron Behagen,206,83
behnkel01,Elmer Behnke,201,95
belinma01,Marco Belinelli,196,99
bellch01,Charlie Bell,190,90
bellde01,Dennis Bell,196,83
belljo01,Jordan Bell,203,97
bellra01,Raja Bell,196,92
belltr01,Troy Bell,185,81
bellwh01,Whitey Bell,183,81
bellawa01,Walt Bellamy,211,102
bembrde01,DeAndre' Bembry,196,95
bemorir01,Irv Bemoras,190,83
benbole01,Leon Benbow,193,83
bendedr01,Dragan Bender,213,102
bendejo01,Jonathan Bender,211,91
benimje01,Jerrelle Benimon,203,111
benjabe01,Benoit Benjamin,213,113
benjaco01,Corey Benjamin,198,90
bennean01,Anthony Bennett,203,111
benneel01,Elmer Bennett,183,77
bennema01,Mario Bennett,198,106
benneme01,Mel Bennett,201,90
bennesp01,Spider Bennett,190,86
benneto01,Tony Bennett,183,79
bennewi01,Winston Bennett,201,95
benoida01,David Benoit,203,99
bensoke02,Keith Benson,211,108
bensoke01,Kent Benson,208,106
bentibe01,Ben Bentil,206,106
bercege01,Gene Berce,180,79
bergega01,Gary Bergen,203,95
berghla01,Larry Bergh,203,95
berryri01,Ricky Berry,203,92
berrywa01,Walter Berry,203,97
bertada02,Dairis Bertāns,193,90
bertada01,Dāvis Bertāns,208,102
beshode01,Del Beshore,180,74
besttr01,Travis Best,180,82
beverpa01,Patrick Beverley,185,81
beysa01,Saddiq Bey,201,97
beyty01,Tyler Bey,201,97
bhullsi01,Sim Bhullar,226,163
bialowe01,Wesley Bialosuknia,188,83
biancal01,Al Bianchi,190,83
biasaha01,Hank Biasatti,180,79
bibbyhe01,Henry Bibby,185,83
bibbymi01,Mike Bibby,185,86
biedeed01,Ed Biedenbach,185,79
biedran01,Andris Biedriņš,211,108
bielkdo01,Don Bielke,201,108
bigelbo01,Bob Bigelow,201,97
billili01,Lionel Billingy,206,97
billuch01,Chauncey Billups,190,91
bingda01,Dave Bing,190,81
biniojo01,Joe Binion,203,106
birchkh01,Khem Birch,206,105
birdja01,Jabari Bird,198,89
birdje01,Jerry Bird,198,95
birdla01,Larry Bird,206,99
birdsot01,Otis Birdsong,190,86
bishoga01,Gale Bishop,190,88
bitadgo01,Goga Bitadze,211,113
biyombi01,Bismack Biyombo,203,115
bjeline01,Nemanja Bjelica,208,106
blabuw01,Uwe Blab,216,114
blackch01,Charlie Black,196,90
blackno01,Norman Black,196,83
blackta01,Tarik Black,206,113
blackto01,Tom Black,208,99
blackro01,Rolando Blackman,198,86
blackal01,Alex Blackwell,198,113
blackco01,Cory Blackwell,198,95
blackja01,James Blackwell,183,86
blackna01,Nate Blackwell,193,77
blairde01,DeJuan Blair,201,122
blakest01,Steve Blake,190,78
blakean01,Antonio Blakeney,193,87
blalowi01,Will Blalock,183,92
blanege01,George Blaney,185,79
blankla01,Lance Blanks,193,86
blantri01,Ricky Blanton,201,97
blatcan01,Andray Blatche,211,106
blaylmo01,Mookie Blaylock,183,81
bledser01,Eric Bledsoe,185,97
blevike01,Keljin Blevins,193,90
blevile01,Leon Blevins,188,72
blockjo01,John Block,206,93
bloommi01,Mike Bloom,198,86
blossja01,Jaron Blossomgame,203,99
blounco01,Corie Blount,206,108
blounma01,Mark Blount,213,104
blueva01,Vander Blue,193,90
blumera01,Ray Blume,193,83
bobbne01,Nelson Bobb,183,77
bobbito01,Tony Bobbitt,193,86
bockhbu01,Bucky Bockhorn,193,90
boerwto01,Tom Boerwinkle,213,120
boganke01,Keith Bogans,196,97
bogdabo01,Bogdan Bogdanović,198,99
bogdabo02,Bojan Bogdanović,201,102
boguemu01,Muggsy Bogues,160,61
bogutan01,Andrew Bogut,213,117
bohanet01,Etdrick Bohannon,206,99
bolbo01,Bol Bol,218,99
bolma01,Manute Bol,231,90
boldejo01,Jonah Bolden,203,99
boldema01,Marques Bolden,208,112
bolgebi01,Bill Bolger,196,92
bolmale01,Leandro Bolmaro,198,90
bolomjo01,Joel Bolomboy,206,106
bolstdo01,Doug Bolstorff,193,88
bonsage01,George Bon Salle,203,99
bondph01,Phil Bond,188,79
bondwa01,Walter Bond,196,90
bonejo01,Jordan Bone,188,81
boneyde01,Dexter Boney,193,83
bongais01,Isaac Bonga,203,81
bonharo01,Ron Bonham,196,87
bonnean01,Anthony Bonner,203,97
bonnema01,Matt Bonner,208,106
bookebu01,Butch Booker,208,104
bookede01,Devin Booker,196,93
bookeme01,Melvin Booker,185,83
booketr01,Trevor Booker,203,103
boonejo01,Josh Boone,208,107
boonero01,Ron Boone,188,90
boothca01,Calvin Booth,211,104
boothke01,Keith Booth,198,102
boozebo01,Bob Boozer,203,97
boozeca01,Carlos Boozer,206,117
borchcu01,Curtis Borchardt,213,108
bornhja01,Jake Bornheimer,196,90
borrela01,Lazaro Borrell,203,99
borsaik01,Ike Borsavage,203,99
borylvi01,Vince Boryla,196,95
boshch01,Chris Bosh,211,106
bostiji01,Jim Bostic,201,102
bostobr01,Brandon Boston Jr.,201,83
bostola01,Lawrence Boston,203,102
bosweto01,Tom Boswell,206,99
bouchch01,Chris Boucher,206,90
bouknja01,James Bouknight,196,86
boumtru01,Ruben Boumtje-Boumtje,213,116
bovendo01,Don Boven,193,95
bowdlca01,Cal Bowdler,208,111
bowenbr02,Brian Bowen,198,86
bowenbr01,Bruce Bowen,201,83
bowenry01,Ryan Bowen,201,97
bowento01,Tommie Bowens,203,99
bowiean01,Anthony Bowie,198,86
bowiesa01,Sam Bowie,216,106
bowlior01,Orbie Bowling,208,97
bowmair01,Ira Bowman,196,88
bowmaky01,Ky Bowman,185,84
bowmana01,Nate Bowman,208,104
boycedo01,Donnie Boyce,196,88
boydde01,Dennis Boyd,185,79
boydfr01,Freddie Boyd,188,81
boydke01,Ken Boyd,196,88
boykiea01,Earl Boykins,165,61
boykoha01,Harry Boykoff,208,102
boynewi01,Winford Boynes,198,83
bozemce01,Cedric Bozeman,198,93
bracest01,Steve Bracey,185,79
brackcr01,Craig Brackins,208,104
braddga01,Gary Bradds,203,95
bradlal02,Alex Bradley,198,97
bradlal01,Alonzo Bradley,198,86
bradlav01,Avery Bradley,190,81
bradlbi02,Bill Bradley,180,74
bradlbi01,Bill Bradley,196,92
bradlch01,Charles Bradley,196,97
bradldu01,Dudley Bradley,198,88
bradlji01,Jim Bradley,203,97
bradljo01,Joe Bradley,190,79
bradlmi01,Michael Bradley,208,111
bradlsh01,Shawn Bradley,229,106
bradlto01,Tony Bradley,208,112
bradtma01,Mark Bradtke,208,120
braggma01,Marques Bragg,203,104
braggto01,Torraye Braggs,203,111
bramlaj01,A.J. Bramlett,208,102
brancad01,Adrian Branch,201,83
brandel01,Elton Brand,206,124
brandte01,Terrell Brandon,180,81
brannbo01,Bob Brannum,196,97
bransbr01,Brad Branson,208,99
bransje01,Jesse Branson,201,88
brantja01,Jarrell Brantley,196,113
brascji01,Jim Brasco,185,77
bratzmi01,Mike Bratz,188,83
braunca01,Carl Braun,196,81
brazdig01,Ignas Brazdeikis,198,100
breauti01,Tim Breaux,201,97
bremejr01,J.R. Bremer,188,83
brennpe01,Pete Brennan,198,92
brennto01,Tom Brennan,190,88
breuera01,Randy Breuer,221,104
breweco01,Corey Brewer,206,84
breweja01,Jamison Brewer,193,83
breweji01,Jim Brewer,206,95
brewero01,Ron Brewer,193,81
brewero02,Ronnie Brewer,201,99
brezepr01,Primož Brezec,218,114
brianfr01,Frankie Brian,185,81
brickfr01,Frank Brickowski,206,108
bridgju01,Junior Bridgeman,196,95
bridgbi01,Bill Bridges,198,103
bridgmi01,Mikal Bridges,198,94
bridgmi02,Miles Bridges,198,102
brighal01,Al Brightman,188,88
brimaam01,Amida Brimah,208,104
brindau01,Aud Brindley,193,79
briscis01,Isaiah Briscoe,190,97
briskjo01,John Brisker,196,95
brissos01,Oshae Brissett,201,95
bristal01,Allan Bristow,201,95
brittty01,Tyrone Britt,193,86
brittwa01,Wayman Britt,188,83
brittmi01,Mike Brittain,213,106
brittda01,Dave Britton,193,81
brockjo01,Jon Brockman,201,115
broekry01,Ryan Broekhoff,198,97
brogaji01,Jim Brogan,193,83
brogdma01,Malcolm Brogdon,196,103
brokaga01,Gary Brokaw,193,80
brookpr01,Price Brookfield,193,83
brookcl01,Clarence Brookins,193,86
brookaa01,Aaron Brooks,183,73
brookar01,Armoni Brooks,190,88
brookdi01,Dillon Brooks,201,102
brookke01,Kevin Brooks,198,90
brookma01,MarShon Brooks,196,90
brookmi01,Michael Brooks,201,99
brooksc01,Scott Brooks,180,74
brownan01,Andre Brown,206,111
brownan02,Anthony Brown,201,95
brownbo01,Bob Brown,193,92
brownbo02,Bobby Brown,188,79
brownbr01,Bruce Brown,193,91
brownch02,Charlie Brown Jr.,198,90
brownch05,Chaundee Brown Jr.,196,97
brownch01,Chucky Brown,201,97
brownda02,Damone Brown,206,90
brownda01,Darrel Brown,188,79
brownde01,Dee Brown,185,72
brownde03,Dee Brown,183,83
brownde04,Derrick Brown,201,102
brownde02,Devin Brown,196,99
browner01,Ernest Brown,213,110
brownfr01,Fred Brown,190,82
brownge01,George Brown,198,86
brownge02,Gerald Brown,193,95
browngr01,Greg Brown III,206,92
brownha01,Harold Brown,183,70
brownja01,Jabari Brown,193,97
brownja02,Jaylen Brown,198,101
brownjo01,John Brown,201,99
brownke01,Kedrick Brown,201,100
brownkw01,Kwame Brown,211,122
brownla01,Larry Brown,175,72
brownle01,Leon Brown,190,86
brownle02,Lewis Brown,211,102
brownlo01,Lorenzo Brown,196,85
brownma01,Marcus Brown,190,83
brownma02,Markel Brown,190,86
brownmi01,Mike Brown,206,116
brownmo01,Moses Brown,218,111
brownmy01,Myron Brown,190,81
brownpj01,P.J. Brown,211,102
brownra02,Randy Brown,188,86
brownra01,Raymond Brown,203,99
brownri01,Rickey Brown,208,97
brownro01,Roger Brown,196,92
brownro02,Roger Brown,211,102
brownsh01,Shannon Brown,193,92
brownst01,Stan Brown,190,90
brownst02,Sterling Brown,196,99
brownti01,Tierre Brown,188,85
brownto01,Tony Brown,198,83
browntr01,Troy Brown Jr.,198,97
brownji01,Jim Browne,208,106
brundst01,Stanley Brundy,198,95
brunkbr01,Brian Brunkhorst,198,94
brunsge01,George Bruns,183,72
brunsja01,Jalen Brunson,185,86
brunsri01,Rick Brunson,193,86
brussni01,Nicolás Brussino,201,88
bryanel01,Elijah Bryant,196,95
bryanem01,Em Bryant,185,79
bryanjo01,Joe Bryant,206,83
bryanko01,Kobe Bryant,198,96
bryanma01,Mark Bryant,206,111
bryanth01,Thomas Bryant,208,112
bryanwa01,Wallace Bryant,213,111
brynto01,Torgeir Bryn,206,113
buccige01,George Bucci,190,90
buchash01,Shaq Buchanan,190,86
buckhjo01,Joe Buckhalter,201,95
bucknst01,Steve Bucknall,198,97
buckncl01,Cleveland Buckner,206,95
buckngr01,Greg Buckner,193,95
bucknqu01,Quinn Buckner,190,86
buddda01,Dave Budd,198,92
budinch01,Chase Budinger,201,94
budkowa01,Walt Budko,196,99
buechju01,Jud Buechler,198,99
buforro01,Rodney Buford,196,85
bullama01,Matt Bullard,208,97
bullore01,Reggie Bullock,198,92
buncela01,Larry Bunce,213,108
bunchgr01,Greg Bunch,198,86
buntdi01,Dick Bunt,183,77
buntibi01,Bill Buntin,201,113
buntibi02,Bill Bunting,203,90
burdeti01,Ticky Burden,188,83
burkepa01,Pat Burke,211,113
burketr01,Trey Burke,183,83
burkmro01,Roger Burkman,196,79
burksal01,Alec Burks,198,97
burksan01,Antonio Burks,185,90
burleke01,Kevin Burleson,190,92
burleto01,Tom Burleson,218,102
burmaja01,Jack Burmaster,190,86
burnsda01,David Burns,188,81
burnsev01,Evers Burns,203,117
burnsji01,Jim Burns,190,88
burresc01,Scott Burrell,201,98
burriar01,Art Burris,196,99
burroju01,Junior Burrough,203,109
burrobo01,Bob Burrow,201,103
burtode02,Deonte Burton,193,108
burtoed01,Ed Burton,198,102
burtowi01,Willie Burton,203,95
burttst01,Steve Burtt,188,83
busedo01,Don Buse,193,86
bustida01,David Bustion,203,97
butchdo01,Donnie Butcher,188,90
butleal01,Al Butler,188,79
butleca01,Caron Butler,201,103
butlegr01,Greg Butler,211,108
butleja01,Jackie Butler,208,113
butleja02,Jared Butler,190,88
butleji01,Jimmy Butler,201,104
butlemi01,Mike Butler,188,77
butlemi02,Mitchell Butler,196,95
butlera01,Rasual Butler,201,97
buyckdw01,Dwight Buycks,190,86
byarsde01,Derrick Byars,201,99
bynuman01,Andrew Bynum,213,129
bynumwi01,Will Bynum,183,83
byrdwa01,Walter Byrd,201,92
byrnema01,Marty Byrnes,201,97
byrneto01,Tommy Byrnes,190,79
bytzumi01,Michael Bytzura,185,77
cabarza01,Žarko Čabarkapa,211,106
cableba01,Barney Cable,201,79
cabocbr01,Bruno Caboclo,206,98
cacokde01,Devontae Cacok,201,108
caffeja01,Jason Caffey,203,115
cagemi01,Michael Cage,206,101
calabge01,Gerry Calabrese,185,79
calatni01,Nick Calathes,198,96
caldejo01,José Calderón,190,90
caldwad01,Adrian Caldwell,203,120
caldwji01,Jim Caldwell,208,108
caldwjo01,Joe Caldwell,196,88
caldwke01,Kentavious Caldwell-Pope,196,92
calhobi01,Bill Calhoun,190,81
calhoco01,Corky Calhoun,201,95
calipde01,Demetrius Calip,185,74
callato01,Tom Callahan,185,81
callori01,Rick Calloway,198,81
calveer01,Ernie Calverley,178,65
calvima01,Mack Calvin,183,74
cambrde01,Dexter Cambridge,201,101
cambyma01,Marcus Camby,211,99
campafa01,Facundo Campazzo,178,88
campbel01,Elden Campbell,211,97
campbto01,Tony Campbell,201,97
canaais01,Isaiah Canaan,183,91
cancavl01,Vlatko Čančar,203,107
cannade01,Devin Cannady,188,83
cannola01,Larry Cannon,193,88
capelca01,Clint Capela,208,108
caracde01,Derrick Caracter,206,124
cardfr01,Frank Card,201,88
cardibr01,Brian Cardinal,203,111
careyve01,Vernon Carey Jr.,206,122
carlho01,Howie Carl,175,72
carlich01,Chet Carlisle,196,88
carlige01,Geno Carlisle,190,81
carliri01,Rick Carlisle,196,95
carlodo01,Don Carlos,196,95
carlsal01,Al Carlson,211,106
carlsdo01,Don Carlson,183,77
carnebo01,Bob Carney,190,77
carnero01,Rodney Carney,201,92
carpebo01,Bob Carpenter,196,90
carran01,Antoine Carr,206,102
carrau01,Austin Carr,193,90
carrch01,Chris Carr,196,93
carrco01,Cory Carr,190,95
carrke01,Kenny Carr,201,99
carrml01,M.L. Carr,198,92
carrida01,Darel Carrier,190,83
carribo01,Bob Carrington,198,88
carrode01,DeMarre Carroll,198,97
carrojo01,Joe Barry Carroll,213,102
carroma01,Matt Carroll,198,96
carruji01,Jimmy Carruth,208,120
cartean01,Anthony Carter,185,86
cartebu01,Butch Carter,196,81
cartefr01,Fred Carter,190,83
cartege01,George Carter,193,95
carteho01,Howard Carter,196,97
carteja01,Jake Carter,193,88
carteje01,Jevon Carter,185,90
cartema01,Maurice Carter,196,95
cartere01,Reggie Carter,190,79
cartero01,Ron Carter,196,86
cartevi01,Vince Carter,198,99
cartewe01,Wendell Carter Jr.,208,122
cartemi01,Michael Carter-Williams,196,86
cartwbi01,Bill Cartwright,216,111
cartyja01,Jay Carty,203,99
carusal01,Alex Caruso,193,84
cashco01,Cornelius Cash,203,97
cashsa01,Sam Cash,203,104
cassesa01,Sam Cassell,190,83
casspom01,Omri Casspi,206,102
catchha01,Harvey Catchings,206,98
catlete01,Terry Catledge,203,99
catlesi01,Sid Catlett,198,104
catoke01,Kelvin Cato,211,115
cattabo01,Bobby Cattage,206,113
caulewi01,Willie Cauley-Stein,213,108
caupatr01,Troy Caupain,193,95
causwdu01,Duane Causwell,213,108
cavanty01,Tyler Cavanaugh,206,107
cavenro01,Ron Cavenall,216,104
caverah01,Ahmad Caver,188,79
cebalce01,Cedric Ceballos,198,86
celesjo01,John Celestand,193,80
cervial01,Al Cervi,180,77
chalmli01,Lionel Chalmers,183,81
chalmma01,Mario Chalmers,188,86
chambbi01,Bill Chamberlain,198,85
chambwi01,Wilt Chamberlain,216,124
chambje01,Jerry Chambers,196,83
chambto01,Tom Chambers,208,99
champju01,Justin Champagnie,198,90
champmi01,Mike Champion,208,104
chandty01,Tyson Chandler,213,106
chandwi01,Wilson Chandler,203,106
chanedo01,Don Chaney,196,95
chanejo01,John Chaney,190,83
chapmre01,Rex Chapman,193,83
chapmwa01,Wayne Chapman,198,86
chapple01,Len Chappell,203,108
charlke01,Ken Charles,190,81
charllo01,Lorenzo Charles,201,102
chealjo01,Joe Chealey,190,86
cheanca01,Calbert Cheaney,201,94
cheatzy01,Zylan Cheatham,196,99
cheekma01,Maurice Cheeks,185,81
cheniph01,Phil Chenier,190,81
cherrwi01,Will Cherry,183,83
chievde01,Derrick Chievous,201,88
chilcpe01,Pete Chilcutt,208,104
childjo01,Josh Childress,203,95
childra01,Randolph Childress,188,85
childch01,Chris Childs,190,88
chiozch01,Chris Chiozza,180,79
chollle01,Leroy Chollet,188,86
